SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,TITLE,CAMPUS,AUDIT,A,A_GF,B,B_GF,B+,B+_GF,C,C_GF,C+,C+_GF,D,D_GF,D+,D+_GF,F,F_GF,FN,Incomplete,IP,No Grade,NR,S,T,U,UN,W,WF,Num Grades Posted
BADM,A328,001,Green Bus & Sustainablty Pract,AIK,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29
BADM,A345,001,Business Communication,AIK,0,5,0,9,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BADM,A345,002,Business Communication,AIK,0,4,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
BADM,A345,003,Business Communication,AIK,0,10,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BADM,A345,6AA,Business Communication,AIK,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11
BADM,A345,PC,Business Communication,AIK,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19
BADM,A345,PC1,Business Communication,AIK,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,18
BADM,A350,001,Principles of Marketing,AIK,0,5,0,9,0,1,0,12,0,7,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,44
BADM,A350,PC,Principles of Marketing,AIK,0,10,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,22
BADM,A363,001,Business Finance,AIK,0,4,0,7,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25
BADM,A363,002,Business Finance,AIK,0,3,0,2,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15
BADM,A363,PC,Business Finance,AIK,0,5,0,4,0,1,0,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20
BADM,A371,001,Prin Management & Leadership,AIK,0,0,0,1,0,1,0,9,0,3,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4,0,25
BADM,A371,002,Prin Management & Leadership,AIK,0,0,0,3,0,1,0,2,0,2,0,6,0,3,0,2,0,1,0,0,0,0,0,0,0,0,5,0,25
BADM,A371,003,Prin Management & Leadership,AIK,0,6,0,19,0,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
BADM,A371,61Z,Prin Management & Leadership,AIK,0,5,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16
BADM,A371,PC,Prin Management & Leadership,AIK,0,6,0,8,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,20
BADM,A379,001,"Soc, Ethcl & Legal Aspts Bus",AIK,0,14,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,22
BADM,A379,002,"Soc, Ethcl & Legal Aspts Bus",AIK,0,5,0,1,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,17
BADM,A379,PC,"Soc, Ethcl & Legal Aspts Bus",AIK,0,17,0,1,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,28
BADM,A380,001,Entrepreneurship,AIK,0,5,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
BADM,A380,6A1,Entrepreneurship-WRI,AIK,0,8,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
BADM,A380,PC,Entrepreneurship,AIK,0,4,0,5,0,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BADM,A383,001,International Business,AIK,0,6,0,16,0,3,0,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34
BADM,A383,65Z,International Business,AIK,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14
BADM,A383,PC,International Business,AIK,0,14,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,24
BADM,A390,001,Business Info. Management,AIK,0,13,0,3,0,5,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
BADM,A390,002,Business Info. Management,AIK,0,15,0,1,0,6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
BADM,A390,61Z,Business Info. Management,AIK,0,11,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
BADM,A390,PC,Business Info. Management,AIK,0,16,0,0,0,3,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,27
BADM,A397,002,Topics in Business,AIK,0,9,0,3,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
BADM,A397,003,Topics in Business,AIK,0,4,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BADM,A397,65Z,Topics in Business,AIK,0,6,0,1,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14
BADM,A397,PC,Topics in Business,AIK,0,7,0,2,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,18
BADM,A478,001,Strategic Management,AIK,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BADM,A478,002,Strategic Management,AIK,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
